"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Armenia,449203,,8750.0,,435162.0,,5291.0,,"151,147","2,944","3,242,901","1,091,164","2,971,966",Asia,7,340,1,,,"1,780"
Bosnia and Herzegovina,402998,,16347.0,,379084.0,,7567.0,,"124,025","5,031","1,884,721","580,036","3,249,317",Europe,8,199,2,,,"2,329"
Oman,399449,,4628.0,,384669.0,,10152.0,2,"75,028",869,"25,000,000","4,695,724","5,323,993",Asia,13,"1,150",0,,,"1,907"
North Macedonia,348281,,9677.0,,337068.0,,1536.0,,"167,338","4,649","2,226,216","1,069,626","2,081,304",Europe,6,215,1,,,738
Zambia,343995,,4058.0,,339858.0,,79.0,,"17,668",208,"4,047,915","207,903","19,470,234",Africa,57,"4,798",5,,,4
Kenya,343074,,5688.0,,337309.0,,77.0,1,"6,103",101,"3,967,062","70,569","56,215,221",Africa,164,"9,883",14,,,1
Albania,334726,,3602.0,,329428.0,,1696.0,,"116,777","1,257","1,941,032","677,173","2,866,374",Europe,9,796,1,,,592
Botswana,329905,,2801.0,,327049.0,,55.0,1,"135,143","1,147","2,026,898","830,300","2,441,162",Africa,7,872,1,,,23
Luxembourg,319959,,1232.0,,316690.0,,2037.0,,"498,091","1,918","4,587,145","7,140,959","642,371",Europe,2,521,0,,,"3,171"
Brunei,306333,,225.0,,243601.0,,62507.0,3,"687,723",505,"717,784","1,611,437","445,431",Asia,1,"1,980",1,,,"140,329"
Montenegro,291911,+13,2828.0,,288614.0,+45,469.0,6,"464,863","4,504","2,757,845","4,391,823","627,950",Europe,2,222,0,21,,747
Algeria,271842,,6881.0,,183055.0,,81906.0,,"5,994",152,"230,960","5,093","45,350,148",Africa,167,"6,591",196,,,"1,806"
Nigeria,266675,,3155.0,,259953.0,,3567.0,11,"1,230",15,"5,708,974","26,339","216,746,934",Africa,813,"68,700",38,,,16
Zimbabwe,265030,,5695.0,,258888.0,,447.0,12,"17,287",371,"2,525,756","164,744","15,331,428",Africa,58,"2,692",6,,,29
Uzbekistan,253662,,1637.0,,241486.0,,10539.0,23,"7,378",48,"1,377,915","40,077","34,382,084",Asia,136,"21,003",25,,,307
Mozambique,233417,,2243.0,,228805.0,,2369.0,11,"7,054",68,"1,371,127","41,437","33,089,461",Africa,142,"14,752",24,,,72
Afghanistan,222248,,7918.0,,200041.0,,14289.0,45,"5,453",194,"1,265,782","31,059","40,754,388",Asia,183,"5,147",32,,,351
Kyrgyzstan,206890,,2991.0,,196406.0,,7493.0,131,"30,749",445,"1,907,195","283,460","6,728,271",Asia,33,"2,250",4,,,"1,114"
El Salvador,201785,,4230.0,,179410.0,,18145.0,8,"30,805",646,"2,610,114","398,467","6,550,389",North America,32,"1,549",3,,,"2,770"
Trinidad and Tobago,191496,,4390.0,,187078.0,,28.0,8,"136,143","3,121","913,289","649,295","1,406,585",North America,7,320,2,,,20
Maldives,186672,,316.0,,163687.0,,22669.0,25,"345,059",584,"2,213,831","4,092,223","540,985",Asia,3,"1,712",0,,,"41,903"
Ghana,171657,,1462.0,,170161.0,,34.0,2,"5,299",45,"2,536,496","78,298","32,395,450",Africa,189,"22,158",13,,,1
Namibia,171310,,4091.0,,167099.0,,120.0,,"65,041","1,553","1,062,663","403,460","2,633,874",Africa,15,644,2,,,46
Uganda,170775,,3632.0,,100431.0,,66712.0,3,"3,526",75,"3,012,408","62,198","48,432,863",Africa,284,"13,335",16,,,"1,377"
Jamaica,155026,,3550.0,,102982.0,,48494.0,,"51,933","1,189","1,183,986","396,633","2,985,094",North America,19,841,3,,,"16,245"
Cambodia,138822,+9,3056.0,,135728.0,+11,38.0,,"8,086",178,"3,091,420","180,062","17,168,639",Asia,124,"5,618",6,0.5,,2
Rwanda,133194,,1468.0,,131647.0,,79.0,,"9,793",108,"6,021,981","442,778","13,600,464",Africa,102,"9,265",2,,,6
Cameroon,125036,,1972.0,,122807.0,,257.0,13,"4,480",71,"1,751,774","62,762","27,911,548",Africa,223,"14,154",16,,,9
