"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Greenland,11971,,21,,2761,,9189,4,"210,117",369,"164,926","2,894,810","56,973",North America,5,"2,713",0,,,"161,287"
Yemen,11945,,2159,,9124,,662,23,383,69,"329,592","10,579","31,154,867",Asia,"2,608","14,430",95,,,21
Caribbean Netherlands,11682,,38,,10476,,1168,,"438,398","1,426","30,126","1,130,559","26,647",North America,2,701,1,,,"43,832"
Sint Maarten,11030,,92,,10905,,33,,"250,876","2,093","62,056","1,411,454","43,966",North America,4,478,1,,,751
Eritrea,10189,,103,,10086,,0,,"2,782",28,"23,693","6,470","3,662,244",Africa,359,"35,556",155,,,
Niger,9931,,312,,8890,,729,1,381,12,"254,538","9,759","26,083,660",Africa,"2,626","83,601",102,,,28
St. Vincent Grenadines,9631,,124,,9493,,14,,"86,337","1,112","114,197","1,023,720","111,551",North America,12,900,1,,,126
Guinea-Bissau,9614,,177,,8929,,508,6,"4,659",86,"145,231","70,385","2,063,367",Africa,215,"11,657",14,,,246
Comoros,9109,,161,,8939,,9,,"10,038",177,,,"907,419",Africa,100,"5,636",,,,10
Antigua and Barbuda,9106,,146,,8954,,6,1,"91,509","1,467","18,901","189,943","99,509",North America,11,682,5,,,60
Macao,8873,727,122,,3487,,5264,,"13,293",183,"7,850","11,760","667,490",Asia,75,"5,471",85,"1,089",,"7,886"
Liberia,8090,,295,,7783,,12,2,"1,525",56,"139,824","26,356","5,305,117",Africa,656,"17,983",38,,,2
Chad,7701,,194,,4874,,2633,,442,11,"191,341","10,988","17,413,580",Africa,"2,261","89,761",91,,,151
Cook Islands,7120,,2,,7106,,12,,"405,213",114,"19,690","1,120,596","17,571",Australia/Oceania,2,"8,786",1,,,683
Saint Kitts and Nevis,6602,,48,,6554,,0,,"122,552",891,"126,946","2,356,481","53,871",North America,8,"1,122",0,,,
Turks and Caicos,6588,,38,,6529,,21,4,"165,773",956,"612,335","15,408,143","39,741",North America,6,"1,046",0,,,528
Sao Tome and Principe,6587,,80,,6507,,0,,"28,931",351,"29,036","127,530","227,679",Africa,35,"2,846",8,,,
Palau,6011,,9,,6000,,2,,"329,677",494,"69,781","3,827,181","18,233",Australia/Oceania,3,"2,026",0,,,110
Nauru,5393,,1,,5347,,45,,"494,635",92,"20,509","1,881,042","10,903",Australia/Oceania,2,"10,903",1,,,"4,127"
Kiribati,5029,,24,,2703,,2302,3,"40,747",194,,,"123,419",Australia/Oceania,25,"5,142",,,,"18,652"
